20181030 	105000 	110000 	104500 	108500 
20181031 	108500 	109500 	107000 	108500 
20181101 	108500 	110000 	107000 	107000 
20181102 	108000 	112000 	108000 	111000 
20181105 	110000 	110500 	106500 	108000 
20181106 	108500 	109500 	107500 	109500 
20181107 	109000 	111000 	108000 	108500 
20181108 	108000 	109000 	106500 	106500 
20181109 	106500 	107500 	104500 	105000 
20181112 	105000 	105000 	101000 	102000 
20181113 	101000 	106500 	100500 	106000 
20181114 	105500 	107000 	105000 	105500 
20181115 	99900 	103000 	99400 	103000 
20181116 	103000 	105500 	102000 	103500 
20181119 	103500 	105500 	103000 	104000 
20181120 	103500 	104500 	103000 	104000 
20181121 	103000 	103000 	100500 	102500 
20181122 	102500 	102500 	95800 	96400 
20181123 	96900 	100500 	96900 	99200 
20181126 	99300 	102000 	99300 	101500 
20181127 	102000 	104000 	101500 	104000 
20181128 	104500 	107000 	104000 	105000 
20181129 	106000 	106500 	104500 	104500 
20181130 	105000 	105500 	102500 	102500 
20181203 	104000 	107000 	103500 	105500 
20181204 	106000 	108000 	105000 	106000 
20181205 	104000 	106000 	104000 	105000 
20181206 	106000 	106000 	103000 	103500 
20181207 	104000 	106000 	104000 	105500 
20181210 	104500 	105500 	103500 	104500 
20181211 	109000 	110000 	105500 	108000 
20181212 	108000 	109500 	107000 	108000 
20181213 	108500 	111500 	108000 	110000 
20181214 	107000 	108000 	106000 	108000 
20181217 	108500 	109000 	107000 	108500 
20181218 	108000 	110000 	106500 	109500 
20181219 	109500 	110000 	108000 	108500 
20181220 	108000 	108500 	106500 	107500 
20181221 	108000 	108500 	106500 	107500 
20181224 	107000 	108000 	106500 	107000 
20181226 	105500 	106500 	102500 	103500 
20181227 	104000 	105000 	103000 	104500 
20181228 	104500 	106500 	104500 	105500 
20190102 	105500 	106500 	103000 	104000 
20190103 	104000 	106000 	104000 	104500 
20190104 	104000 	108000 	104000 	107000 
 


